City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
160,Monywa,MM,22.1167,95.1333,74.23,38,59,6.64,broken clouds,2021-02-01 03:41:02
161,Alofi,NU,-19.0595,-169.9187,78.8,89,90,9.22,light rain,2021-02-01 03:40:01
162,Thompson,CA,55.7435,-97.8558,8.6,85,75,2.3,light snow,2021-02-01 03:39:41
163,Calvinia,ZA,-31.4707,19.776,55.65,90,1,2.24,clear sky,2021-02-01 03:41:02
164,Tocopilla,CL,-22.092,-70.1979,67.35,65,6,7.9,clear sky,2021-02-01 03:41:02
165,Gamboma,CG,-1.8764,15.8644,71.02,91,99,1.7,light rain,2021-02-01 03:41:02
166,Oktyabrskiy,RU,54.4815,53.471,28.8,97,100,14.25,overcast clouds,2021-02-01 03:41:02
167,Pochutla,MX,15.7432,-96.4661,77.0,83,0,3.04,clear sky,2021-02-01 03:39:52
168,Ballina,AU,-28.8667,153.5667,82.4,57,40,12.66,scattered clouds,2021-02-01 03:41:03
169,Arraial Do Cabo,BR,-22.9661,-42.0278,76.37,86,100,25.37,overcast clouds,2021-02-01 03:40:26
170,Oni,GE,42.5794,43.4425,36.91,73,21,4.83,few clouds,2021-02-01 03:41:03
171,Lufilufi,WS,-13.8745,-171.5986,87.8,74,75,20.71,broken clouds,2021-02-01 03:41:03
172,Plainview,US,40.7765,-73.4673,26.01,80,90,11.5,mist,2021-02-01 03:37:00
173,Touros,BR,-5.1989,-35.4608,78.8,83,40,4.61,scattered clouds,2021-02-01 03:39:45
174,Dikson,RU,73.5069,80.5464,-24.95,80,97,9.04,overcast clouds,2021-02-01 03:39:22
175,Fiumicino,IT,41.7675,12.2291,46.99,93,40,2.3,fog,2021-02-01 03:41:04
176,Ouidah,BJ,6.3631,2.0851,82.4,89,40,2.3,scattered clouds,2021-02-01 03:41:04
177,Raahe,FI,64.6833,24.4833,9.0,85,75,2.3,light snow,2021-02-01 03:41:04
178,Constantine,DZ,36.365,6.6147,50.0,71,90,16.11,overcast clouds,2021-02-01 03:41:04
179,Kaihua,CN,23.3687,104.28,62.91,61,66,11.27,broken clouds,2021-02-01 03:41:04
180,Bethel,US,41.3712,-73.414,19.99,64,100,1.01,overcast clouds,2021-02-01 03:39:40
181,Abbeville,FR,50.1,1.8333,43.0,41,100,2.55,overcast clouds,2021-02-01 03:41:04
182,Waingapu,ID,-9.6567,120.2641,84.88,72,21,16.13,few clouds,2021-02-01 03:40:17
183,Namatanai,PG,-3.6667,152.4333,84.45,76,95,9.89,light rain,2021-02-01 03:41:05
184,Burnie,AU,-41.0667,145.9167,65.88,83,100,5.7,overcast clouds,2021-02-01 03:41:05
185,Luanda,AO,-8.8368,13.2343,78.8,83,20,5.75,few clouds,2021-02-01 03:38:32
186,Salalah,OM,17.0151,54.0924,68.0,64,20,3.44,few clouds,2021-02-01 03:40:18
187,Pangnirtung,CA,66.1451,-65.7125,-6.5,86,100,7.52,overcast clouds,2021-02-01 03:41:05
188,Slave Lake,CA,55.2834,-114.769,10.4,79,90,13.8,overcast clouds,2021-02-01 03:41:05
189,Hovd,MN,48.0056,91.6419,6.8,83,5,1.92,clear sky,2021-02-01 03:41:05
190,Marica,BR,-22.9194,-42.8186,84.2,61,0,10.36,clear sky,2021-02-01 03:41:05
191,San Miguel De Cauri,PE,-10.1,-76.5833,45.75,83,100,1.95,overcast clouds,2021-02-01 03:41:05
192,Murgud,IN,16.4,74.2,76.68,42,58,9.4,broken clouds,2021-02-01 03:41:06
193,Geraldton,AU,-28.7667,114.6,100.4,16,0,23.02,clear sky,2021-02-01 03:39:51
194,Denpasar,ID,-8.65,115.2167,86.0,74,20,12.66,few clouds,2021-02-01 03:36:43
195,Camacha,PT,33.0833,-16.3333,60.8,88,20,8.05,few clouds,2021-02-01 03:41:06
196,Chuy,UY,-33.6971,-53.4616,69.85,91,100,12.26,overcast clouds,2021-02-01 03:39:34
197,Sorong,ID,-0.8833,131.25,83.28,77,99,8.48,moderate rain,2021-02-01 03:39:37
198,Hilo,US,19.7297,-155.09,77.0,61,1,8.05,clear sky,2021-02-01 03:39:13
199,Ailigandi,PA,9.2333,-78.0167,78.98,84,92,10.67,overcast clouds,2021-02-01 03:41:06
200,Hambantota,LK,6.1241,81.1185,82.4,83,20,8.05,few clouds,2021-02-01 03:39:43
201,Laylay,PH,13.4391,121.8202,80.01,76,48,8.01,scattered clouds,2021-02-01 03:41:07
202,Boa Vista,BR,2.8197,-60.6733,80.6,69,0,9.22,clear sky,2021-02-01 03:41:07
203,Galeana,MX,24.8333,-100.0667,48.99,49,7,1.99,clear sky,2021-02-01 03:41:07
204,Daru,PG,-9.0763,143.2092,83.53,81,94,10.89,overcast clouds,2021-02-01 03:41:07
205,Teeli,RU,51.0333,90.2333,-3.12,87,12,0.67,few clouds,2021-02-01 03:41:07
