City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
465,Leca Da Palmeira,41.191,-8.7003,51.8,100,75,6.91,PT,2021-01-31 05:28:40
466,Hay River,60.8156,-115.7999,-18.4,69,20,4.61,CA,2021-01-31 05:28:40
467,Chase,50.8165,-119.6857,33.8,93,99,1.14,CA,2021-01-31 05:28:40
468,Monrovia,6.3005,-10.7969,75.2,94,40,5.64,LR,2021-01-31 05:26:45
469,Yuci,37.6803,112.7319,46.4,14,0,8.95,CN,2021-01-31 05:28:41
470,Waingapu,-9.6567,120.2641,82.85,75,100,15.79,ID,2021-01-31 05:28:41
471,Yulara,-25.2406,130.9889,96.8,19,75,16.11,AU,2021-01-31 05:21:29
472,Tessalit,20.1986,1.0114,59.09,27,0,8.19,ML,2021-01-31 05:28:41
473,Tashtyp,52.7939,89.8983,-10.5,86,100,4.38,RU,2021-01-31 05:28:41
474,Mpika,-11.8343,31.4529,65.1,89,92,0.69,ZM,2021-01-31 05:28:41
475,Auki,-8.7676,160.7034,84.22,73,96,15.5,SB,2021-01-31 05:28:42
476,Astaneh-Ye Ashrafiyeh,37.2596,49.9444,50.09,49,0,2.89,IR,2021-01-31 05:28:42
477,Sechura,-5.5569,-80.8222,77.0,62,36,12.41,PE,2021-01-31 05:25:31
478,Tvoroyri,61.5556,-6.8111,30.2,80,75,14.97,FO,2021-01-31 05:28:42
479,Lazeshchyna,48.2685,24.4201,18.43,93,99,2.37,UA,2021-01-31 05:28:42
480,Tecoanapa,16.5167,-98.75,74.37,84,50,3.53,MX,2021-01-31 05:28:42
481,Pemangkat,1.1667,108.9667,83.05,76,88,11.18,ID,2021-01-31 05:28:42
482,Muswellbrook,-32.2667,150.9,80.2,61,71,13.31,AU,2021-01-31 05:28:42
483,Parrsboro,45.4001,-64.332,14.0,79,97,2.3,CA,2021-01-31 05:28:42
484,Lago Da Pedra,-4.3333,-45.1667,73.24,96,99,1.54,BR,2021-01-31 05:28:42
485,Bereda,43.2686,-7.5406,50.0,100,100,7.0,ES,2021-01-31 05:24:56
486,Lima,-12.0432,-77.0282,72.0,83,0,10.36,PE,2021-01-31 05:24:18
487,Faya,18.3851,42.4509,55.4,62,0,4.61,SA,2021-01-31 05:25:32
